Budgets;;;;;Percentage Change;;;;;Percentage Change (order by triennial outcome);;;
Country;2017 (U$D);2018 (U$D);2019 (U$D);;Country;2017-2018;2018-2019;Var. Trienial (%);;Country;2017-2018;2018-2019;Triennial Change (%)
France; $14.169,07 ; $15.049,39 ; $15.371,35 ;;France;6,2%;2,1%;8,5%;;Slovakia;40,2%;21,3%;70%
Germany; $9.008,36 ; $10.004,58 ; $10.061,39 ;;Germany;11,1%;0,6%;11,7%;;Lithuania;17,8%;17,4%;38,3%
Spain; $5.071,44 ; $5.641,16 ; $5.655,82 ;;Spain;11,2%;0,3%;11,5%;;Romania;24,5%;7,3%;33,7%
Italy; $5.028,50 ; $5.540,19 ; $5.297,42 ;;Italy;10,2%;-4,4%;5,3%;;Portugal;22,8%;5,1%;29%
Great Britain; $4.700,91 ; $4.964,03 ; $4.549,73 ;;Great Britain;5,6%;-8,3%;-3,2%;;Poland;32,3%;-3,1%;28,2%
Netherlands; $3.812,62 ; $4.195,74 ; $4.209,69 ;;Netherlands;10%;0,3%;10,4%;;Czech Republic;30,7%;-3,6%;26%
Sweden; $2.890,31 ; $3.056,88 ; $3.073,82 ;;Sweden;5,8%;0,6%;6,3%;;Estonia;8,9%;12,4%;22,3%
Switzerland; $2.450,41 ; $2.564,91 ; $2.499,40 ;;Switzerland;4,7%;-2,6%;2%;;Croatia;14,3%;5,4%;20,4%
Poland; $2.007,78 ; $2.657,14 ; $2.573,61 ;;Poland;32,3%;-3,1%;28,2%;;Ireland;17,5%;-0,4%;17%
Belgium; $1.896,59 ; $2.264,26 ; $2.144,47 ;;Belgium;19,4%;-5,3%;13,1%;;Greece;23,7%;-5,8%;16,5%
Norway; $1.803,59 ; $1.926,05 ; $2.042,50 ;;Norway;6,8%;6%;13,2%;;Finland;17,1%;-2,4%;14,2%
Hungary; $1.654,43 ; $1.569,18 ; $1.789,87 ;;Hungary;-5,2%;14,1%;8,2%;;Norway;6,8%;6%;13,2%
Finland; $1.342,44 ; $1.571,78 ; $1.533,44 ;;Finland;17,1%;-2,4%;14,2%;;Belgium;19,4%;-5,3%;13,1%
Denmark; $1.252,38 ; $1.377,17 ; $1.361,29 ;;Denmark;10%;-1,2%;8,7%;;Germany;11,1%;0,6%;11,7%
Austria; $1.146,39 ; $1.273,36 ; $1.232,35 ;;Austria;11,1%;-3,2%;7,5%;;Spain;11,2%;0,3%;11,5%
Czech Republic; $916,32 ; $1.197,43 ; $1.154,22 ;;Czech Republic;30,7%;-3,6%;26,0%;;Slovenia;27,8%;-12,9%;11,3%
Greece; $751,45 ; $929,37 ; $875,29 ;;Greece;23,7%;-5,8%;16,5%;;Netherlands;10%;0,3%;10,4%
Portugal; $613,03 ; $752,59 ; $790,67 ;;Portugal;22,8%;5,1%;29%;;Denmark;10%;-1,2%;8,7%
Romania; $553,93 ; $689,88 ; $740,53 ;;Romania;24,5%;7,3%;33,7%;;France;6,2%;2,1%;8,5%
Ireland; $317,42 ; $373,05 ; $371,38 ;;Ireland;17,5%;-0,4%;17,0%;;Hungary;-5,2%;14,1%;8,2%
Slovakia; $143,74 ; $201,46 ; $244,34 ;;Slovakia;40,2%;21,3%;70%;;Austria;11,1%;-3,2%;7,5%
Croatia; $165,88 ; $189,53 ; $199,80 ;;Croatia;14,3%;5,4%;20,4%;;Sweden;5,8%;0,6%;6,3%
Estonia; $149,05 ; $162,26 ; $182,33 ;;Estonia;8,9%;12,4%;22,3%;;Italy;10,2%;-4,4%;5,3%
Slovenia; $135,37 ; $173,00 ; $150,66 ;;Slovenia;27,8%;-12,9%;11,3%;;Switzerland;4,7%;-2,6%;2%
Lithuania; $99,33 ; $117,03 ; $137,34 ;;Lithuania;17,8%;17,4%;38,3%;;Great Britain;5,6%;-8,3%;-3,2%
Bulgary; $125,32 ; $87,98 ; $93,35 ;;Bulgary;-29,8%;6,1%;-25,5%;;Latvia;12,7%;-22,8%;-13%
Latvia; $97,86 ; $110,30 ; $85,18 ;;Latvia;12,7%;-22,8%;-13%;;Bulgary;-29,8%;6,1%;-25,5%
Argentina; $86,54 ; $39,06 ; $20,56 ;;Argentina;-54,9%;-47,4%;-76,2%;;Argentina;-54,9%;-47,4%;-76,2%
